workload,cores,repeat,count,seconds,tps,cpu_seconds,average_busy_cores,allocated_cpu_percent,db_write_ms,tx_commit_wait_ms,peak_rss_bytes
native,12,2,300000,2.396684400000595,125172.92639778751,17.515625,7.308273463120823,60.90227885934019,921.9778,10705.2588,116023296
previous,12,2,300000,2.3896188999988226,125543.03115034277,15.796875,6.610625234010236,55.08854361675197,799.1525,8948.7797,111525888
evm,8,2,100000,3.062974000000395,32648.008112372845,6.390625,2.086411768431327,26.08014710539159,999.4173999999999,0.0,116002816
native,8,2,300000,2.409922499999084,124485.33095986035,12.6875,5.264692121844094,65.80865152305117,800.13,6430.0195,122437632
previous,8,2,300000,2.307461800000965,130012.98656379686,11.9375,5.173433423684417,64.6679177960552,746.8283,5722.8494,110837760
evm,4,2,100000,3.358577199998763,29774.51285027387,5.40625,1.609684600967931,40.24211502419828,1019.6002000000001,0.0,103960576
native,4,2,300000,3.593059799999537,83494.29642112793,11.53125,3.209312018687105,80.23280046717763,745.8063000000001,2817.9924,111296512
previous,4,2,300000,3.57972030000019,83805.43027341663,11.3125,3.1601630998934187,79.00407749733547,776.0699999999999,2802.2436,105541632
evm,2,2,100000,4.427511800000502,22586.049347172528,5.953125,1.3445757501988644,67.22878750994322,1033.0868,0.0,103391232
native,2,2,300000,6.4880904000001465,46238.566589638336,11.671875,1.7989692313781165,89.94846156890583,912.4983,1570.2341,108015616
previous,2,2,300000,6.331752100000813,47380.25040493318,11.421875,1.8039043253128204,90.19521626564102,901.9245999999999,1485.3671,103170048
evm,1,2,100000,6.723691600000166,14872.782088934231,6.046875,0.8993385419402418,89.93385419402418,1083.385,0.0,100827136
native,1,2,300000,12.263672099999894,24462.493578901427,11.859375,0.9670329492909471,96.70329492909471,1205.3494,51.7083,100548608
previous,1,2,300000,12.121962299999723,24748.468323483143,11.546875,0.9525582339090647,95.25582339090647,1236.5136,79.6044,98660352
previous,1,3,300000,12.145572199999151,24700.359526908167,11.734375,0.9661442710785434,96.61442710785434,1201.3461,58.3401,98385920
native,1,3,300000,12.16868980000072,24653.43475186476,11.8125,0.9707289933546749,97.0728993354675,1201.1746,66.1586,99864576
evm,1,3,100000,6.740543200001412,14835.599599744284,5.96875,0.885499851109737,88.5499851109737,1129.3244,0.0,103485440
previous,2,3,300000,6.349159800000052,47250.34641591436,11.3125,1.7817318127667707,89.08659063833854,887.3324,1442.8174,104071168
native,2,3,300000,6.385132699999303,46984.14490274145,11.6875,1.8304239785026355,91.52119892513177,891.26,1470.068,106094592
evm,2,3,100000,4.3394960000005085,23044.150749300905,6.0625,1.3970516391763674,69.85258195881838,1019.0685,0.0,102424576
previous,4,3,300000,3.618868100000327,82898.8489522381,11.34375,3.134612726006503,78.36531815016258,758.1398,2792.173,105730048
native,4,3,300000,3.6175819000000047,82928.32292200478,11.40625,3.1530039444303903,78.82509861075975,782.0546,2936.7081,110411776
evm,4,3,100000,3.3809262000013405,29577.69382838358,5.765625,1.7053389097927407,42.63347274481852,1023.8919000000001,0.0,103456768
previous,8,3,300000,2.6071496000004117,115068.19554963498,12.4375,4.770535607161951,59.63169508952438,1054.6471999999999,8203.888,114266112
native,8,3,300000,2.324016100001245,129086.88541350437,12.40625,5.3382805738709616,66.72850717338702,741.9749,5913.1046,115867648
evm,8,3,100000,3.10189679999894,32238.338812572416,8.28125,2.669737432916153,33.37171791145192,996.4052,0.0,114683904
previous,12,3,300000,2.177637799999502,137763.95688946464,15.90625,7.304359797576823,60.869664979806856,799.8291,8876.9274,113876992
native,12,3,300000,2.1925341000005574,136827.9745340899,16.25,7.411515287263203,61.76262739386002,782.3045999999999,9046.0744,119382016
evm,12,3,100000,3.501642499999434,28558.02669747587,7.859375,2.2444824107547445,18.70402008962287,1062.0253,0.0,123650048
previous,15,3,300000,2.274860699999408,131876.2067497487,18.15625,7.98125792933375,53.20838619555833,809.2629000000001,10932.6252,115298304
native,15,3,300000,2.1047435000000405,142535.18302823798,18.265625,8.678314008333865,57.855426722225765,801.7325,11127.5738,116797440
evm,15,3,100000,3.334989700000733,29985.100103900775,10.703125,3.20934274549563,21.3956183033042,984.0234,0.0,124211200
